Sample	City	Environment	ARG_Class	Abundance
DRR480202	Kolkata	Controlled	CMY-93	3
DRR480202	Kolkata	Controlled	CMY-98	11
DRR480202	Kolkata	Controlled	CMY-99	1
DRR480202	Kolkata	Controlled	CPS-1	90
DRR480202	Kolkata	Controlled	CRD3-1	966
DRR480202	Kolkata	Controlled	CRH-1	1
DRR480202	Kolkata	Controlled	CRH-3	2
DRR480202	Kolkata	Controlled	CRP	3037
DRR480202	Kolkata	Controlled	CRP-1	5
DRR480202	Kolkata	Controlled	CSA-1	239
DRR480202	Kolkata	Controlled	CSP-1	1
DRR480202	Kolkata	Controlled	CTX-M-102	1
DRR480202	Kolkata	Controlled	CTX-M-106	1
DRR480202	Kolkata	Controlled	CTX-M-108	2
DRR480202	Kolkata	Controlled	CTX-M-11	1
DRR480202	Kolkata	Controlled	CTX-M-122	5
DRR480202	Kolkata	Controlled	CTX-M-125	1
DRR480202	Kolkata	Controlled	CTX-M-13	3
DRR480202	Kolkata	Controlled	CTX-M-137	4
DRR480202	Kolkata	Controlled	CTX-M-144	1
DRR480202	Kolkata	Controlled	CTX-M-151	10
DRR480202	Kolkata	Controlled	CTX-M-168	3
